"The form has invalid values.","The form has invalid values."
"Back","Back"
"Are you sure you want to delete this banner?","Are you sure you want to delete this banner?"
"Save and Continue Edit","Save and Continue Edit"
"Save","Save"
"Add New Banner","Add New Banner"
"Back to Slider","Back to Slider"
"Delete","Delete"
"Are you sure you want to delete this slider? Its banners are deleted with it.","Are you sure you want to delete this slider? Its banners are deleted with it."
"Manage Banners","Manage Banners"
"Add New Slider","Add New Slider"
"Choose a banner to delete.","Choose a banner to delete."
"The banner has been deleted.","The banner has been deleted."
"Something went wrong while deleting the banner.","Something went wrong while deleting the banner."
"New Banner","New Banner"
"Edit Banner: %1","Edit Banner: %1"
"This banner no longer exists.","This banner no longer exists."
"Banners","Banners"
"A total of %1 banner(s) have been deleted.","A total of %1 banner(s) have been deleted."
"Something went wrong while deleting the banners.","Something went wrong while deleting the banners."
"Banner %1 could not be deleted: %2","Banner %1 could not be deleted: %2"
"The banner has been saved.","The banner has been saved."
"Something went wrong while saving the banner.","Something went wrong while saving the banner."
"The crop images prepared in the browser were not kept. They are prepared again when you save.","The crop images prepared in the browser were not kept. They are prepared again when you save."
"Choose a slider to delete.","Choose a slider to delete."
"The slider has been deleted.","The slider has been deleted."
"Something went wrong while deleting the slider.","Something went wrong while deleting the slider."
"New Slider","New Slider"
"Edit Slider: %1","Edit Slider: %1"
"This slider no longer exists.","This slider no longer exists."
"Sliders","Sliders"
"A total of %1 slider(s) have been deleted.","A total of %1 slider(s) have been deleted."
"Something went wrong while deleting the sliders.","Something went wrong while deleting the sliders."
"Slider %1 could not be deleted: %2","Slider %1 could not be deleted: %2"
"The slider has been saved.","The slider has been saved."
"Something went wrong while saving the slider.","Something went wrong while saving the slider."
"Enter a valid date and time for ""%1"".","Enter a valid date and time for ""%1""."
"From","From"
"To","To"
"The ""To"" date must not be before the ""From"" date.","The ""To"" date must not be before the ""From"" date."
"Enter a valid value for ""%1"".","Enter a valid value for ""%1""."
"Name","Name"
"Select a valid slider.","Select a valid slider."
"Enabled","Enabled"
"Select a valid banner type.","Select a valid banner type."
"Enter a whole number of 0 or more for ""%1"".","Enter a whole number of 0 or more for ""%1""."
"Position","Position"
"Preload Image","Preload Image"
"Upload the banner image through the image field.","Upload the banner image through the image field."
"Enter a link URL that starts with http:, https:, mailto: or tel:, or a relative URL.","Enter a link URL that starts with http:, https:, mailto: or tel:, or a relative URL."
"Open in New Tab","Open in New Tab"
"Enter a video URL that starts with http:// or https://.","Enter a video URL that starts with http:// or https://."
"Upload the video file through the video field.","Upload the video file through the video field."
"Video as Background","Video as Background"
"Enter the aspect ratio as width:height in whole numbers from 1 to 100, for example 3:2.","Enter the aspect ratio as width:height in whole numbers from 1 to 100, for example 3:2."
"The banner to save could not be identified.","The banner to save could not be identified."
"row %1","row %1"
"Breakpoint ""%1"": the identifier may use only a-z, 0-9, ""_"" and ""-"", up to 50 characters.","Breakpoint ""%1"": the identifier may use only a-z, 0-9, ""_"" and ""-"", up to 50 characters."
"Breakpoint ""%1"": enter a whole number for ""%2"".","Breakpoint ""%1"": enter a whole number for ""%2""."
"Breakpoint ""%1"": enter a name, a media query and sizes greater than 0.","Breakpoint ""%1"": enter a name, a media query and sizes greater than 0."
"ID","ID"
"Min Width","Min Width"
"Target Width","Target Width"
"Target Height","Target Height"
"Sort Order","Sort Order"
"The crop for breakpoint %1 could not be read. Crop the image again and save.","The crop for breakpoint %1 could not be read. Crop the image again and save."
"Select a crop area for breakpoint %1.","Select a crop area for breakpoint %1."
"The crop area for breakpoint %1 must be given in whole pixels.","The crop area for breakpoint %1 must be given in whole pixels."
